X  , Y  ,Angle,Move Type,Tangent,Velocity,Correction, Elbow , Elbow Speed, Slide,Slide Speed, Pitch,Roll,Claw, Wait,Comment,
-4,69,-90,line,0,30,0,1700,1,0.5,1,0.7,0.21,0.56,0,Starting,
-4,69,-90,line,0,100,0,0,1,0,1,0.52,0.21,0,0,Clip,
0,36,-90,line,0,100,0.2,40,1,10,1,0.52,0.21,-1,10,Clip,
0,43,-90,line,0,100,0.2,40,1,0,1,0.52,0.21,0,0,Clip,
-32,45,-90,line,0,100,0.2,40,1,0,1,0.52,0.21,0,0,Clip,
-40,22,-90,line,0,100,0.2,40,1,0,1,0.52,0.21,0,0,Clip,
-46,22,-90,line,0,100,0.2,40,1,0,1,0.52,0.21,0,0,Clip,
-46,58,-90,line,0,100,0.2,40,1,0,1,0.52,0.21,0,0,Push,
-46,22,-90,line,0,100,0.2,40,1,0,1,0.52,0.21,0,0,Push,
-55,22,-90,line,0,100,0.2,40,1,0,1,0.52,0.21,0,0,Push,
-55,58,-90,line,0,100,0.2,40,1,0,1,0.52,0.21,0,0,Push,
-55,22,-90,line,0,100,0.2,40,1,0,1,0.52,0.21,0,0,Push,
-62,22,-90,line,0,100,0.3,40,1,0,1,0.52,0.21,0,0,Push,
-62,58,-90,line,0,100,0.2,40,1,0,1,0.155,0.21,0,0,Push,
-34,53,90,line,0,100,0.45,40,1,0,1,0.155,0.21,1,0.25,Pick Up,
-34,61,90,line,0,100,0.25,40,1,0,1,0.52,0.21,0,0,Pick Up,
-34,55,90,line,0,100,0,40,1,0,1,0.52,0.21,0,0,Pick Up,
10,50,-90,line,0,100,0.45,37,1,10,1,0.52,0.21,0,0,Clip,
10,36,-90,line,0,100,0.25,37,1,10,1,0.52,0.21,-1,0,Clip,
10,43,-90,line,0,100,0.25,37,1,0,1,0.155,0.21,0,0,Clip,
-34,53,90,line,0,100,0.45,39,1,0,1,0.155,0.21,1,0.25,Pick Up,
-34,61,90,line,0,100,0.25,39,1,0,1,0.52,0.21,0,0,Pick Up,
-34,55,90,line,0,100,0,39,1,0,1,0.52,0.21,0,0,Pick Up,
8,50,-90,line,0,100,0.45,37,1,10,1,0.52,0.21,0,0,Clip,
8,36,-90,line,0,100,0.25,37,1,10,1,0.52,0.21,-1,0,Clip,
8,43,-90,line,0,100,0.25,37,1,0,1,0.155,0.21,0,0,Clip,
-34,53,90,line,0,100,0.45,39,1,0,1,0.155,0.21,1,0.25,Pick Up,
-34,61,90,line,0,100,0.25,39,1,0,1,0.52,0.21,0,0,Pick Up,
-34,55,90,line,0,100,0,39,1,0,1,0.52,0.21,0,0,Pick Up,
6,50,-90,line,0,100,0.45,37,1,10,1,0.52,0.21,0,0,Clip,
6,36,-90,line,0,100,0.25,37,1,10,1,0.52,0.21,-1,0,Clip,
6,43,-90,line,0,100,0.25,37,1,0,1,0.155,0.21,0,0,Clip,
-34,53,90,line,0,100,0.45,39,1,0,1,0.155,0.21,1,0.25,Pick Up,
-34,61,90,line,0,100,0.25,39,1,0,1,0.52,0.21,0,0,Pick Up,
-34,55,90,line,0,100,0,39,1,0,1,0.52,0.21,0,0,Pick Up,
6,50,-90,line,0,100,0.45,37,1,10,1,0.52,0.21,0,0,Clip,
6,36,-90,line,0,100,0.25,37,1,10,1,0.52,0.21,-1,0,Clip,
6,43,-90,line,0,100,0.25,37,1,0,1,0.52,0.21,0,0,Clip,
