X  , Y  ,Angle,Move Type,Tangent,Velocity,Correction, Elbow , Elbow Speed, Slide,Slide Speed, Pitch,Roll,Claw, Wait,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.9,65,-180,line,0,100,0,1700,1,0,1,0.7,0.8,0,0,Starting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.9,65,-180,line,0,30,0,20,1,1,1,0.16,0.8,0,0,Starting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,56,-135,line,0,30,1,90,1,1,1,0.16,0.8,0,0,Go To B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,56,-135,line,0,30,1,90,1,26,1,0.7,0.8,0,0.7,Go To B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,56,-135,line,0,30,1,90,1,26,1,0.7,0.8,-0.9,0.5,Go To B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,56,-135,line,0,30,1,90,1,26,1,0.27,0.8,0,0,Go To B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.1,56,-103,line,0,30,1.5,5,0.5,8,1,0.27,0.8,1,0,Go to Pick Up 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.1,56,-103,line,0,30,0,5,1,18,0.3,0.27,0.8,1,1,Go to Pick Up 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,58,-135,line,0,30,1.3,90,1,1,1,0.16,0.8,0,0.5,Go To B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,58,-135,line,0,30,1,90,1,26,1,0.7,0.8,0,0.7,Go To B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,58,-135,line,0,30,1,90,1,26,1,0.7,0.8,-0.9,0.5,Go To B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,58,-135,line,0,30,1,90,1,26,1,0.27,0.8,0,0,Go To B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.1,55.1,-88,line,0,30,1.5,5,0.5,8,1,0.27,0.8,1,0,Go to Pick Up 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.1,55.1,-88,line,0,30,0,5,1,18,0.3,0.27,0.8,1,1,Go to Pick Up 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,57,-135,line,0,30,1.3,90,1,1,1,0.16,0.8,0,0.5,Go To B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,57,-135,line,0,30,1,90,1,26,1,0.7,0.8,0,0.7,Go To B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,57,-135,line,0,30,1,90,1,26,1,0.7,0.8,-0.9,0.5,Go To B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,57,-135,line,0,30,1,90,1,26,1,0.27,0.8,0,0,Go To B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
